title,rating,year_of_release,poster,note,imdbID,country,
Sonic the Hedgehog,6.5,2020,https://m.media-amazon.com/images/M/MV5BNTdmNmI4MzQtZTAzNS00MjhjLWEzOGQtZjI1NDNjZjk4N2JjXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg,,tt3794354,United States,"[' Japan', ' Canada']"
The Shawshank Redemption,9.3,1994,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_SX300.jpg,,tt0111161,United States,
Despicable Me,7.6,2010,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,,tt1323594,United States,[' France']
The Blacklist,7.9,2013-2023,https://m.media-amazon.com/images/M/MV5BMTU1OTdjYTUtMzA2MS00Njg4LWI1NTctMWUzYzNkNmQ5YWY3XkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_SX300.jpg,My favorite movie!,tt2741602,United States,
The Notebook,7.8,2004,https://m.media-amazon.com/images/M/MV5BNzc3Mzg1OGYtZjc3My00Y2NhLTgyOWUtYjRhMmI4OTkwNDg4XkEyXkFqcGdeQXVyMTU3NDU4MDg2._V1_SX300.jpg,,tt0332280,United States,
Garfield,8.5,2017,https://m.media-amazon.com/images/M/MV5BMzk5ZmNhMGYtYWEzNS00MjA2LWFkZGYtZWViMzBlYTZiZDZlXkEyXkFqcGdeQXVyNzM0MjAzNTY@._V1_SX300.jpg,,tt6585312,United Kingdom,
Joker,8.4,2019,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,,tt7286456,United States,"[' Canada', ' Australia']"
Gladiator,8.5,2000,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,,tt0172495,United States,"[' United Kingdom', ' Malta', ' Morocco']"
Inside Out,8.1,2015,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,,tt2096673,United States,
Argylle,5.7,2024,https://m.media-amazon.com/images/M/MV5BZDM3YTg4MGUtZmUxNi00YmEyLTllNTctNjYyNjZlZGViNmFhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_SX300.jpg,,tt15009428,United Kingdom,[' United States']
Heart of Stone,5.7,2023,https://m.media-amazon.com/images/M/MV5BMTJhYjI1N2ItM2E4MC00ZmYzLTk2YzYtNTE5YTM1MDU0NjRiXkEyXkFqcGdeQXVyMTMxNjYyMTgw._V1_SX300.jpg,,tt13603966,United States,
Love Again,5.9,2023,https://m.media-amazon.com/images/M/MV5BNjQwZDIyNjAtZGQxMC00OTUwLWFiOWYtNzg2NDc5Mjc1MDQ5XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_SX300.jpg,,tt10276482,United States,
Serenity,7.8,2005,https://m.media-amazon.com/images/M/MV5BMTc5YjQ0MGQtOTdjZS00OGZhLTk1ZGItMThjOGFiZmMxYWRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,tt0379786,United States,
